run_idx,seed,preset_index,model_name,test_auc,test_f1,test_acc,tpr_at_1e4,tpr_at_1e5,tpr_at_1e6,elapsed_sec
0,33,0,_tabular_rf_onehot,0.9978621730835081,0.9437226760874365,0.9457849777081986,0.5230006083579016,0.43784326488243375,0.4234724048004969,7.228195905685425
0,33,0,_tabular_xgb_onehot,0.998069553222235,0.899423437510973,0.908609995575673,0.81728842545914,0.8121450359271501,0.524502358982213,3.254196882247925
0,33,0,_tabular_mlp_onehot,0.9997366019752806,0.9415975580107513,0.9448150290984583,0.695655133392042,0.5559072403098797,0.5384222684517505,115.8601257801056
0,33,0,mlp_seq,0.8593732687744081,0.6362755676215006,0.7332598781608413,0.36363636363636365,0.0,0.0,219.5234968662262
0,33,0,attpool_transformer,0.9786831538707551,0.8876430806786973,0.8989658135656672,0.0,0.0,0.0,1226.536422252655
0,33,0,cls_transformer,0.9941223810811205,0.6147255784080631,0.7218395841132628,0.0,0.0,0.0,2039.6724600791931
0,33,0,mean_transformer,0.9981646050186136,0.855693183753924,0.8738641391280673,0.0,0.0,0.0,1901.1816880702972
0,33,0,neurlux,0.997191404970073,0.5362542655740155,0.6831841541027125,0.45682998736487435,0.413708898616943,0.0,310.5608150959015
0,33,0,cnn,0.9999658520653487,0.8432332149825672,0.8644773338324881,0.7799531181533147,0.7195384988449708,0.701143117259922,344.13606119155884
0,33,0,lstm,0.9982452213741017,0.73730436487579,0.7919609127726916,0.635044818534921,0.6074304749020458,0.5986709719687398,1032.7007176876068
0,33,0,cnn_lstm,0.9948456856452513,0.5721921885440078,0.7003794711227581,0.47785875035629355,0.4168272646441957,0.39840210330172426,702.8645308017731
1,34,1,_tabular_rf_onehot,0.9992782635359174,0.987933792855968,0.9879841234727563,0.4505847468082481,0.3657166924048856,0.36468290939721515,7.311604261398315
1,34,1,_tabular_xgb_onehot,0.9992628827612013,0.8993166670958469,0.9085164040431543,0.817105492663544,0.7944133175075194,0.578173990359867,3.2053587436676025
1,34,1,_tabular_mlp_onehot,0.9988099921644221,0.9431109592551465,0.9461678521594119,0.7323480487877512,0.5431615041330049,0.5261359913893958,112.64594984054564
1,34,1,mlp_seq,0.8959831675377634,0.649606378365027,0.7404983323690569,0.4526480585725286,0.3749952139675571,0.35839087207892484,175.89039421081543
1,34,1,attpool_transformer,0.9988143365519847,0.8603276940229774,0.8774248715243508,0.0,0.0,0.0,1286.7047238349917
1,34,1,cls_transformer,0.9989743027460212,0.7618736653070682,0.8076417486301602,0.0,0.0,0.0,1724.9517550468445
1,34,1,mean_transformer,0.9771899439627946,0.7770706931480985,0.8176645509308104,0.0,0.0,0.0,44671.75159692764
1,34,1,neurlux,0.9990193814666832,0.7012367095845683,0.7699456318279277,0.5475476369762485,0.0,0.0,587.3221228122711
1,34,1,cnn,0.9989730825506102,0.6903587237824089,0.763572899295511,0.8365729455158066,0.6155816199337187,0.6085238174245615,597.9621770381927
1,34,1,lstm,0.995507010998644,0.8662660177530846,0.8815237552326175,0.0,0.0,0.0,412.3833599090576
1,34,1,cnn_lstm,0.9642756560018336,0.5333316694536651,0.6818228227206208,0.3709068786985395,0.36427024704435906,0.0,341.4084692001343
2,35,2,_tabular_rf_onehot,0.9992760027484785,0.9787337585433185,0.9789929551100977,0.4679420911345662,0.37007729974176695,0.36439787457617023,7.289079189300537
2,35,2,_tabular_xgb_onehot,0.9995499625162446,0.8992766007257403,0.9084844978388864,0.8168715088552235,0.7598177478845737,0.727966170195568,3.27659010887146
2,35,2,_tabular_mlp_onehot,0.9955205554898449,0.9435265514862675,0.9465400912092026,0.7572524344951693,0.5389795753406591,0.5264210262104407,113.69307112693788
2,35,2,mlp_seq,0.9183786910322155,0.6747542850378121,0.7545540788891536,0.36768641064583785,0.0,0.0,340.24330496788025
2,35,2,attpool_transformer,0.9940330534095949,0.8064633196206467,0.8377867304223531,0.0,0.0,0.0,1638.60018825531
2,35,2,cls_transformer,0.999645529423594,0.747141197659672,0.7981273185175102,0.0,0.0,0.0,2265.24466919899
2,35,2,mean_transformer,0.9473855895547209,0.8650386565899649,0.8810685600517306,0.0,0.0,0.0,2265.0455288887024
2,35,2,neurlux,0.998479708004931,0.7713466659349676,0.8138826021849369,0.5272038084055493,0.0,0.0,342.10395526885986
2,35,2,cnn,0.9999324459085935,0.9333920141196861,0.9375467957662594,0.9417848284898686,0.0,0.0,228.60864114761353
2,35,2,lstm,0.9961381677797141,0.6390640106057185,0.7347658510022802,0.0,0.0,0.0,601.6465618610382
2,35,2,cnn_lstm,0.9196512700660227,0.534370849778343,0.6823035428649219,0.44216983821083217,0.36453401061010215,0.0,408.3040370941162
3,36,0,_tabular_rf_onehot,0.9982084133674867,0.9510685600977427,0.9532318857842971,0.7399206156752135,0.500057432389315,0.4668487486120506,7.251835107803345
3,36,0,_tabular_xgb_onehot,0.9980036849123555,0.8993492204691231,0.908544056086853,0.8171778149315704,0.8057083540728073,0.4540221816650288,3.2369401454925537
3,36,0,_tabular_mlp_onehot,0.9991332819630052,0.9396333391218452,0.9430644420242997,0.7594135940338383,0.5908048617581118,0.5836279402192641,105.48987698554993
3,36,0,mlp_seq,0.8917334153032311,0.6941516618479049,0.7657637919885648,0.36658881387226183,0.363640617887424,0.36363636363636365,188.19902801513672
3,36,0,attpool_transformer,0.9998573036647657,0.9694242554422634,0.9703272300309703,0.7555464798199601,0.0,0.0,1712.3458199501038
3,36,0,cls_transformer,0.9997212573963292,0.8394145089230617,0.8616164108498111,0.0,0.0,0.0,2792.306718826294
3,36,0,mean_transformer,0.9968282823210475,0.8578984176938543,0.8755275159105605,0.0,0.0,0.0,1455.311012983322
3,36,0,neurlux,0.9927671133123883,0.535503364066783,0.6828055338120682,0.3661548802641039,0.36428726404860057,0.0,242.9269597530365
3,36,0,cnn,0.9999573463050573,0.8164918454525087,0.8449337201783345,0.8750866803653551,0.5772593263818872,0.5674149894281861,657.0008690357208
3,36,0,lstm,0.9990236579690897,0.6936785249891642,0.7654893986318619,0.5276419962647676,0.0,0.0,417.61190819740295
3,36,0,cnn_lstm,0.9986226125743974,0.747078622042313,0.7981209372766566,0.6010533525625481,0.5340403898595671,0.0,447.2187352180481
4,37,1,_tabular_rf_onehot,0.9973787634308207,0.9442545585502783,0.9463316373413199,0.5612888679012503,0.40368588311870635,0.38166162537916015,7.334097862243652
4,37,1,_tabular_xgb_onehot,0.9991420028980665,0.8994337427520711,0.9086185038968111,0.8173054424633815,0.8061678131873274,0.6538528624728259,3.2756831645965576
4,37,1,_tabular_mlp_onehot,0.9993811895488915,0.9426044245936701,0.9457147840588095,0.7192704810281674,0.5792715871334431,0.5585491302183707,106.86324310302734
4,37,1,mlp_seq,0.8225975272537016,0.6508213891160561,0.7411619814178266,0.3835760383563276,0.36363636363636365,0.3535240088658592,255.8723440170288
4,37,1,attpool_transformer,0.9990990507690473,0.7938115503702963,0.8290316679712759,0.0,0.0,0.0,2131.905340909958
4,37,1,cls_transformer,0.9995458083464726,0.783531505800296,0.8220229384337883,0.0,0.0,0.0,1178.4300198554993
4,37,1,mean_transformer,0.9775380888045485,0.6648948404078607,0.7489683660620087,0.37164711838304426,0.0,0.0,2171.363554239273
4,37,1,neurlux,0.9952841801097403,0.6474636346897441,0.7393560902562706,0.5196525127733889,0.48315529292645676,0.4747106045716182,490.3723518848419
4,37,1,cnn,0.9999376055243065,0.9527477324970153,0.9548761188442296,0.8716407370064537,0.0,0.0,461.8831112384796
4,37,1,lstm,0.997738986781027,0.5387855071472752,0.6843689378211891,0.5301520043903871,0.3862349452690601,0.36882654993001757,573.5248079299927
4,37,1,cnn_lstm,0.998836625188781,0.6942852064169222,0.7658680189225062,0.6591494050429892,0.5407663607860155,0.5315559072403099,446.84429907798767
5,38,2,_tabular_rf_onehot,0.9990189845710786,0.9864070802493597,0.9864292277847735,0.7149353991976483,0.5577195512615981,0.5512318183945307,7.451743125915527
5,38,2,_tabular_xgb_onehot,0.9994557787304902,0.8992332634881244,0.9084483374740496,0.8156505388008968,0.7789661319073083,0.6752985420681616,3.3100481033325195
5,38,2,_tabular_mlp_onehot,0.9974628496842051,0.9299803142886404,0.9345561208862267,0.729293496526404,0.5741281976014533,0.5520954313597862,114.9794421195984
5,38,2,mlp_seq,0.8748853277172313,0.6946500458091562,0.7660552019875438,0.4545667258007564,0.0,0.0,200.08247804641724
5,38,2,attpool_transformer,0.9998267507205725,0.9170491312507916,0.9233804410713679,0.0,0.0,0.0,2536.197084903717
5,38,2,cls_transformer,0.999708758790787,0.7700030868557497,0.8129871013851547,0.0,0.0,0.0,2501.036525964737
5,38,2,mean_transformer,0.9952403719508949,0.7779825001364334,0.8182771500527516,0.0,0.0,0.0,2562.080377817154
5,38,2,neurlux,0.9994374107012478,0.7589705688267124,0.8057677908994997,0.6960720499959585,0.5094720899859184,0.5080639328849352,385.7573318481446
5,38,2,cnn,0.9999360000883274,0.9559544244319154,0.9578093625565803,0.9279457497904782,0.0,0.0,326.4729890823364
5,38,2,lstm,0.9974436702635635,0.6913240738163499,0.7641110506074942,0.47493182562675756,0.0,0.0,625.1914210319519
5,38,2,cnn_lstm,0.9871289303517093,0.5917618478479019,0.7101108634244291,0.4795476880272612,0.4274841635504278,0.0,473.8325402736664
6,39,0,_tabular_rf_onehot,0.9992429272038345,0.9776710249422155,0.9779719565735289,0.597050102314738,0.42879872712808276,0.3899744319511272,7.411021947860718
6,39,0,_tabular_xgb_onehot,0.9980374521037618,0.8993693613554752,0.9085610727291291,0.8172373744464155,0.7968850373735956,0.5546607447491906,3.249440908432007
6,39,0,_tabular_mlp_onehot,0.9987996780999413,0.9441312930333667,0.9470824966817547,0.746684874861205,0.5479007398142594,0.5245321387396356,107.3658287525177
6,39,0,mlp_seq,0.9122148184813681,0.7078985481357711,0.7739147636388388,0.36468290939721515,0.0,0.0,330.2050759792328
6,39,0,attpool_transformer,0.9909976975085073,0.941988198320409,0.9451489807031277,0.0,0.0,0.0,1502.2431738376615
6,39,0,cls_transformer,0.9483816489024777,0.7641659701304231,0.8091498485518838,0.0,0.0,0.0,1880.487867832184
6,39,0,mean_transformer,0.9941902577129825,0.8962976001877604,0.9060149576285608,0.0,0.0,0.0,1678.632845878601
6,39,0,neurlux,0.9962782700459606,0.5579958840542373,0.6934558247966511,0.4721070029226705,0.0,0.0,389.34800267219543
6,39,0,cnn,0.9999744870264211,0.8842147730643726,0.8962218799986387,0.8997613365155132,0.7430900327151907,0.738806001897396,805.4146208763123
6,39,0,lstm,0.9974908694768817,0.5340496986214229,0.6821567743252901,0.3911018084821258,0.3813000140390285,0.0,395.0296659469605
6,39,0,cnn_lstm,0.9977804197919162,0.5333316694536651,0.6818228227206208,0.4578169736108807,0.3718640851871232,0.36363636363636365,373.3810148239136
7,40,1,_tabular_rf_onehot,0.9971777096058777,0.9427423748778503,0.9447873770547596,0.5862060163618495,0.41417261198252353,0.4004186183043406,7.302984952926636
7,40,1,_tabular_xgb_onehot,0.9992563750885401,0.8994002780911896,0.9085865976925434,0.8170969841614233,0.8107538958304086,0.5811349490978861,3.2762749195098877
7,40,1,_tabular_mlp_onehot,0.9986288987199324,0.9362985419046865,0.9401078004288194,0.7111406072517964,0.5273995039543263,0.5095188867475825,117.38724732398988
7,40,1,mlp_seq,0.9052730301473365,0.6874862166092999,0.7618754892284655,0.3864178780646561,0.0,0.0,177.74154496192932
7,40,1,attpool_transformer,0.9270664864192095,0.8679971204799842,0.8833785692407174,0.0,0.0,0.0,2370.890156030655
7,40,1,cls_transformer,0.9994864675354844,0.9123528364325076,0.9193815301364735,0.0,0.0,0.0,1695.020707130432
7,40,1,mean_transformer,0.9946221560152152,0.8673503062888582,0.8828680699724331,0.0,0.0,0.0,1947.4043748378751
7,40,1,neurlux,0.868501088367478,0.5333333333333333,0.6818249498009052,0.3681033272497543,0.3638065336787785,0.36375548266605406,528.598699092865
7,40,1,cnn,0.9999726446891646,0.8751405643629264,0.8889961882721301,0.8311147414053492,0.7548190028886365,0.7344411403094542,803.5564200878143
7,40,1,lstm,0.9964714473649254,0.564743523205334,0.6967421638362319,0.42280874163507887,0.39343739231427005,0.3711110827494374,630.9849836826324
7,40,1,cnn_lstm,0.9906099980983955,0.5642428925258904,0.6965018037640812,0.5169765888564147,0.40517912524089694,0.37887083668355603,452.2565538883209
8,41,2,_tabular_rf_onehot,0.99763544346739,0.9460819681564469,0.9481800701085662,0.7257752308994763,0.5523506864234086,0.3841971590111419,7.478580951690674
8,41,2,_tabular_xgb_onehot,0.9995281504962242,0.8992976870493492,0.9085015144811626,0.815629267545595,0.7928562616194232,0.6769364287264049,3.284886121749878
8,41,2,_tabular_mlp_onehot,0.9946149384350287,0.9434819538633697,0.9464996766837968,0.7438855776634802,0.5645008274518313,0.5534695544522864,107.65003514289856
8,41,2,mlp_seq,0.8939636039830939,0.693180207398184,0.7651894803117449,0.0,0.0,0.0,214.9605488777161
8,41,2,attpool_transformer,0.9996102947382665,0.9445108723693981,0.9473866691624409,0.0,0.0,0.0,1383.1738030910492
8,41,2,cls_transformer,0.9995672148562968,0.7776752407814186,0.8180814586665759,0.0,0.0,0.0,2016.5549240112305
8,41,2,mean_transformer,0.9987753659751372,0.9350240517452236,0.9389740666371712,0.0,0.0,0.0,1868.114331007004
8,41,2,neurlux,0.9998568675058055,0.6733409142853918,0.7537542967021748,0.7653525285141177,0.0,0.0,665.3738439083099
8,41,2,cnn,0.9999326276656242,0.9236812827075311,0.9290873974747302,0.8811489881263853,0.5910558625706738,0.56871679025266,509.15886521339417
8,41,2,lstm,0.9977280317981474,0.5694532773840569,0.699037283463227,0.6604937483780667,0.5114971134906555,0.36363636363636365,628.7613987922668
8,41,2,cnn_lstm,0.9791625587154924,0.5747720217306946,0.701647210972331,0.45094635814837974,0.42643761778957623,0.0,371.89801001548767
9,42,0,_tabular_rf_onehot,0.9984735342381954,0.9486666104336013,0.9508091413402308,0.7440642562080159,0.5252808869262611,0.4961477756648331,7.380771160125732
9,42,0,_tabular_xgb_onehot,0.998601573315847,0.8978155578790422,0.9072848245584181,0.8154888772606027,0.791779936101149,0.5937785832493119,3.353806257247925
9,42,0,_tabular_mlp_onehot,0.9981897132692539,0.9359422631696868,0.9397929925467107,0.73039109329998,0.5641136906053373,0.5431529956308842,117.21074724197388
9,42,0,mlp_seq,0.9406501793701707,0.6808484372369676,0.758040363475479,0.0,0.0,0.0,179.89468574523926
9,42,0,attpool_transformer,0.9974525755074568,0.7932012349259224,0.8285977435932342,0.5786377037254476,0.0,0.0,1828.681480884552
9,42,0,cls_transformer,0.9989718146129865,0.883910435294341,0.8959389783207977,0.0,0.0,0.0,1188.497703790665
9,42,0,mean_transformer,0.9981604353932502,0.8421482821866884,0.8636179933975427,0.0,0.0,0.0,1161.6585657596588
9,42,0,neurlux,0.9988709903432623,0.5372943003021129,0.6836712554878671,0.43476744136578477,0.37937709255974034,0.3726638843864732,310.8666961193085
9,42,0,cnn,0.9999353576859024,0.7216300292591666,0.7822507912738659,0.8105624545326918,0.7478760651581092,0.7233971045567283,610.486624956131
9,42,0,lstm,0.9992901499624974,0.5809686231304426,0.7047123336623218,0.8025687167902527,0.7274471515662025,0.4501337961958487,811.5988969802856
9,42,0,cnn_lstm,0.9901546784943629,0.5462141476613839,0.6878658578089372,0.39558153484869757,0.3946583623685968,0.3758503184306919,372.7371127605438
